web-scraper-order,web-scraper-start-url,link,link-href,product_name,item_price,item_rating,numbers_0f_review,product_description,Product_ASIN,manufacturer,pages,pages-href
1658566727-89,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,"Wesley Milestone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, Charcoal Black",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1658566533&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-23,"Wesley Milestone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, Charcoal Black",₹548.00,4.3 out of 5 stars,"6,581 ratings","30L Capacity: The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass.",null,null,2,https://www.amazon.in/s?k=bags&page=2&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_2
1658566571-78,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,"Polestar Space 34 Liters Casual/ Office/ Travel/ School Backpack Bag, made of Polyester, 1 year warranty",https://www.amazon.in/POLESTAR-Navyorg-Casual-bagpack-Backpack/dp/B0844R2GMK/ref=sr_1_36?crid=2M096C61O4MLT&keywords=bags&qid=1658566533&smid=A3HBYWQBT33AGW&sprefix=ba%2Caps%2C283&sr=8-36,"Polestar Space 34 Liters Casual/ Office/ Travel/ School Backpack Bag, made of Polyester, 1 year warranty",₹549.00,4.0 out of 5 stars,"4,859 ratings","✅DIMENSIONS: 30 Cm x 23 Cm x 47 Cm, CAPACITY: 34 Litres",POLESTAR,Unisex-adult,2,https://www.amazon.in/s?k=bags&page=2&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_2
1658566955-102,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ5XY31/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1658565969&sprefix=ba%2Caps%2C283&sr=8-10,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,null,3.9 out of 5 stars,"7,231 ratings",?WATER RESISTANT WITH 1 YEAR WARRANTY - Stylish and durable unisex travel laptop backpack that is your perfect travel partner. Size: 20 inch X 13.5 inch X 9.5 inch. Capacity : 48 liters. Backpack is made of high grade water resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects,B08YZ5XY31,"Akshaya Rubbers, Hebbal Industrial Area, Mysore, 7022982998",,
1658566847-95,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1658565969&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-19,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹249.00,4.1 out of 5 stars,"3,205 ratings",Made of multi-coated 600D polyester Material ; Water Repellent,null,null,,
1658567015-107,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1658565969&smid=A1UVZJ9N7FK5G6&sprefix=ba%2Caps%2C283&sr=8-5,Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),₹645.00,3.9 out of 5 stars,"11,174 ratings","SPACIOUS AND LIGHTWEIGHT: Light weight and spacious laptop backpack with 3 compartments. One compartment is for carrying laptop inside (Upto 17 inches), with padding for safety, and space for laptop accessories like charger, etc. Second large compartment for books, files and all your day to day essentials. And third compartment is for your extra stuff. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort",B085MHDJ93,Amazing Bags,,
1658566102-53,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,ZIPLINE Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag Weekend Bag,https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1658565981&smid=AE2F1YGE1DB7K&sprefix=ba%2Caps%2C283&sr=8-29,ZIPLINE Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag Weekend Bag,₹726.00,4.1 out of 5 stars,"2,725 ratings","MULTI-FUNCTION COMPARTMENT: ZIPLINE backpack features multiple storage compartments and features for additional supplies and accessories as your, iPhone, iPad, pen, keys, wallet, books, clothes, bottle, passport and more,",B07XVMR33Q,"Atulitu Agency, ,251/3364, Tagore Nagar - 1, Vikhroli East, Mumbai - 400083 (9820078070)",Next,https://www.amazon.in/s?k=bags&page=2&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_1
1658566463-74,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,Northzone Laptop Bag/College Bag/School Bag/Office Bag/Waterproof Bag/Travel Bag/Casual Backpack/Trending Backpack (Black1) 40L Backpack,https://www.amazon.in/Northzone-Polyester-School-Backpack-Compartment/dp/B08679WRLW/ref=sr_1_38?crid=2M096C61O4MLT&keywords=bags&qid=1658566257&sprefix=ba%2Caps%2C283&sr=8-38,Northzone Laptop Bag/College Bag/School Bag/Office Bag/Waterproof Bag/Travel Bag/Casual Backpack/Trending Backpack (Black1) 40L Backpack,null,4.0 out of 5 stars,990 ratings,Casual Backpack with Laptop Compartment,DF-OI_Parent,"Northzone, Plot no 35 to 40 KH.No. 28/2 Ground Floor Agar Nagar Prem Nagar Phase 3 Delhi 110086",3,https://www.amazon.in/s?k=bags&page=3&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_3
1658567039-109,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,American Tourister Casual Backpack,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1658565969&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-3,American Tourister Casual Backpack,"₹1,099.00",4.1 out of 5 stars,"42,611 ratings","Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No",Samsonite,Samsonite,,
1658567027-108,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,Metro Women Backpack (66-7806),https://www.amazon.in/Metro-Women-Pink-Backpack-66-7806/dp/B0B364KGB9/ref=sr_1_omk_4?crid=2M096C61O4MLT&keywords=bags&qid=1658565969&sprefix=ba%2Caps%2C283&sr=8-4,Metro Women Backpack (66-7806),null,null,null,Material:Synthetic,India,null,,
1658566619-82,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,Gear Carryon Backpack Black- Blue (BKPCARYON0110),https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1658566533&sprefix=ba%2Caps%2C283&sr=8-32,Gear Carryon Backpack Black- Blue (BKPCARYON0110),null,3.7 out of 5 stars,"4,627 ratings","Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.",Gear Merchandise PVT LTD,"Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",2,https://www.amazon.in/s?k=bags&page=2&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_2
1658566151-55,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,"Bennett™ Mystic 15.6 inch(39cm) Laptop Shoulder Messenger Sling Office Bag, Water Repellent Fabric for Men and Women (Charcoal Black)",https://www.amazon.in/BennettTM-Shoulder-Messenger-Repellent-Charcoal/dp/B09CV24TMK/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1658565981&smid=A14CZOWI0VEHLG&sprefix=ba%2Caps%2C283&sr=8-25,"Bennett™ Mystic 15.6 inch(39cm) Laptop Shoulder Messenger Sling Office Bag, Water Repellent Fabric for Men and Women (Charcoal Black)",₹499.00,4.1 out of 5 stars,"2,508 ratings","High quality Material: The outside of this laptop bag is made of high quality water Repellent Fabric, high well-pad soft fleece inside,comfortable touch, provide 360°protection for your laptop and various device.",null,null,Next,https://www.amazon.in/s?k=bags&page=2&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_1
1658566643-84,https://www.amazon.in/s?k=bags&crid=2M096C61O4MLT&qid=1653308124&sprefix=ba%2Caps%2C283&ref=sr_pg_1https%3A%2F%2Fwww.amazon.in%2Fref%3Dcs_503_logo%2F,Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port and Water Resistant Fabric,https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1658566533&smid=AXOGFIT0PZZ7G&sprefix=ba%2Caps%2C283&sr=8-30,Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port and Water Resistant Fabric,₹799.00,4.0 out of 5 stars,"8,886 ratings",KEY FEATURES - Black Colour Backpack for Men and Women for Stylish Office use as well as for Trendy College students. Huge compartment size that can fit upto a 15.6 inch Laptop with ease. Multiple pockets for other accessories.,Fur Jaden,"Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",2,https://www.amazon.in/s?k=bags&page=2&crid=2M096C61O4MLT&qid=1658565969&sprefix=ba%2Caps%2C283&ref=sr_pg_2
